name,throw_bat,year,decade,avg,obp,slg,ops,hr,rbi,rank,team_game
±è¼º·¡,¿ì¿ì,1988,1980,0.35,0.456,0.516,0.972,10,54,2,108
Á¤±Ù¿ì,¿ì¿ì,2009,2000,0.35,0.439,0.483,0.923,9,59,5,133
È«¼ºÈç,¿ì¿ì,2010,2000,0.35,0.43,0.601,1.031,26,116,2,133
ÀÌº´±Ô,ÁÂÁÂ,1999,1990,0.349,0.395,0.62,1.015,30,99,2,132
±¸ÀÚ¿í,¿ìÁÂ,2015,2010,0.349,0.421,0.534,0.955,11,57,3,144
·ÎÇÏ½º,¿ì¾ç,2020,2010,0.349,0.417,0.68,1.097,47,135,3,144
ÀÌÁ¤ÈÆ,ÁÂÁÂ,1991,1990,0.348,0.416,0.602,1.018,17,55,1,126
ÀÌº´±Ô,ÁÂÁÂ,2013,2010,0.348,0.387,0.455,0.841,5,74,1,128
¸¶¸£Å×,¿ì¿ì,2015,2010,0.348,0.421,0.569,0.99,20,89,4,144
ÀåÈ¿Á¶,ÁÂÁÂ,1991,1990,0.347,0.455,0.488,0.943,4,54,2,126
³ª¼º¹ü,ÁÂÁÂ,2017,2010,0.347,0.418,0.584,1.002,24,99,4,144
¾çÁØÇõ,ÁÂÁÂ,1996,1990,0.346,0.456,0.624,1.08,28,87,1,126
±èÁÖÂù,¿ì¿ì,2014,2010,0.346,0.393,0.514,0.907,9,46,6,128
±èÁÖÂù,¿ì¿ì,2016,2010,0.346,0.39,0.566,0.955,23,101,4,144
¹Ú¿ëÅÃ,¿ìÁÂ,2016,2010,0.346,0.417,0.458,0.875,11,90,5,144
ÀåÁ¾ÈÆ,¿ì¿ì,1991,1990,0.345,0.452,0.64,1.092,35,114,3,126
¼Õ¾Æ¼·,¿ìÁÂ,2013,2010,0.345,0.423,0.474,0.897,11,69,2,128
¹Îº´Çå,¿ì¿ì,2014,2010,0.345,0.393,0.5,0.893,12,79,7,128
¹Úº´È£,¿ì¿ì,2018,2010,0.345,0.46,0.718,1.177,43,112,4,144
¹Ú¹Î¿ì,¿ìÁÂ,2020,2010,0.345,0.402,0.475,0.877,8,63,4,144
ÀÌ¸¸¼ö,¿ì¿ì,1987,1980,0.344,0.44,0.579,1.019,18,76,2,108
±è±âÅÂ,ÁÂÁÂ,1997,1990,0.344,0.462,0.636,1.098,26,79,1,126
½ÉÀçÇÐ,ÁÂÁÂ,2001,2000,0.344,0.472,0.599,1.071,24,88,2,133
¹Ú¿ëÅÃ,¿ìÁÂ,2017,2010,0.344,0.431,0.479,0.91,14,90,5,144
¹Ú¹Î¿ì,¿ìÁÂ,2019,2010,0.344,0.406,0.434,0.84,1,45,2,144
Æä¸£³­µ¥½º2,¿ìÁÂ,2019,2010,0.344,0.413,0.483,0.896,15,88,3,144
Àå¼ºÈ£,ÁÂÁÂ,2002,2000,0.343,0.45,0.522,0.972,19,95,1,133
ºê·ë¹Ù,¿ì¿ì,2004,2000,0.343,0.471,0.608,1.08,33,105,1,133
¹Ú¿ëÅÃ,¿ìÁÂ,2014,2010,0.343,0.434,0.461,0.895,9,73,8,128
Å×ÀÓÁî,¿ìÁÂ,2014,2010,0.343,0.427,0.688,1.116,37,121,9,128
¹Úº´È£,¿ì¿ì,2015,2010,0.343,0.439,0.714,1.153,53,146,5,144
±¸ÀÚ¿í,¿ìÁÂ,2016,2010,0.343,0.422,0.547,0.969,14,77,6,144
¹Ú¹Î¿ì,¿ìÁÂ,2016,2010,0.343,0.417,0.428,0.845,3,55,7,144
À±µ¿±Õ,ÁÂÁÂ,1982,1980,0.342,0.433,0.532,0.965,8,47,2,80
¹ÚÁ¾ÈÆ,ÁÂÁÂ,1985,1980,0.342,0.39,0.471,0.861,6,51,2,110
¾çÁØÇõ,ÁÂÁÂ,1998,1990,0.342,0.453,0.59,1.042,27,89,1,126
Àå¼ºÈ£,ÁÂÁÂ,1999,1990,0.342,0.424,0.561,0.985,24,62,3,132
±èµ¿ÁÖ,¿ì¿ì,2003,2000,0.342,0.462,0.581,1.043,23,89,1,133
ÀÌÁø¿µ,ÁÂÁÂ,2004,2000,0.342,0.435,0.505,0.939,15,63,2,133
ÃÖÇü¿ì,¿ìÁÂ,2017,2010,0.342,0.456,0.576,1.032,26,120,6,144
¾ÈÄ¡È«,¿ì¿ì,2018,2010,0.342,0.398,0.563,0.961,23,118,5,144
ÀüÁØ¿ì,¿ì¿ì,2018,2010,0.342,0.4,0.592,0.992,33,90,6,144
¾çÁØÇõ,ÁÂÁÂ,1993,1990,0.341,0.442,0.598,1.041,23,90,1,126
ÀÌ¿ë±Ô,ÁÂÁÂ,2015,2010,0.341,0.422,0.424,0.846,4,42,6,144
ÀÌ¸¸¼ö,¿ì¿ì,1984,1980,0.34,0.414,0.633,1.048,23,80,1,100
±èÇÑ¼ö,¿ì¿ì,1999,1990,0.34,0.395,0.525,0.92,18,88,4,132
¹ÚÁ¾È£,¿ì¾ç,2000,1990,0.34,0.418,0.49,0.907,10,58,1,133
¿¡·¹¶ó,ÁÂÁÂ,2001,2000,0.34,0.382,0.517,0.898,15,63,3,133
ÃÖÇü¿ì,¿ìÁÂ,2011,2010,0.34,0.435,0.617,1.052,30,118,2,133
±èÀçÈ¯,¿ìÁÂ,2017,2010,0.34,0.432,0.603,1.035,35,115,7,144
±èÁÖÂù,¿ì¿ì,2018,2010,0.34,0.382,0.52,0.902,18,93,7,144
Æä¸£³­µ¥½º,¿ìÁÂ,2020,2010,0.34,0.404,0.497,0.901,21,105,5,144
È«¹®Á¾,ÁÂÁÂ,1984,1980,0.339,0.418,0.539,0.957,11,53,2,100
±èµ¿ÁÖ,¿ì¿ì,2000,1990,0.339,0.418,0.603,1.022,31,106,2,133
¾ÈÄ¡È«,¿ì¿ì,2014,2010,0.339,0.392,0.544,0.935,18,88,10,128
·Î»ç¸®¿À,¿ì¿ì,2017,2010,0.339,0.418,0.661,1.078,37,111,8,144
À¯ÇÑÁØ,¿ì¿ì,2018,2010,0.339,0.405,0.533,0.938,20,83,8,144
ÃÖÇü¿ì,¿ìÁÂ,2018,2010,0.339,0.419,0.549,0.969,25,103,9,144
ºê¸®¶Ç,¿ì¿ì,2000,1990,0.338,0.398,0.533,0.931,15,70,3,133
¼ÛÁö¸¸,¿ì¿ì,2000,1990,0.338,0.412,0.622,1.034,32,90,4,133
ÀÌÇö°ï,¿ì¿ì,2007,2000,0.338,0.389,0.419,0.808,2,48,1,126
ÀÌº´±Ô,ÁÂÁÂ,2011,2010,0.338,0.375,0.487,0.862,16,75,3,133
±è±¤¸²,ÁÂÁÂ,1995,1990,0.337,0.402,0.432,0.834,7,49,1,126
ÀÌº´±Ô,ÁÂÁÂ,2005,2000,0.337,0.392,0.455,0.847,9,75,1,126
¾çÁØÇõ,ÁÂÁÂ,2007,2000,0.337,0.457,0.563,1.02,22,72,2,126
ÀÌÀç¿ø,¿ì¿ì,2014,2010,0.337,0.423,0.507,0.93,12,83,11,128
ÀåÅÂ¼ö,¿ì¿ì,1982,1980,0.336,0.452,0.477,0.929,3,27,3,80
ÀÌ´ëÈ£,¿ì¿ì,2006,2000,0.336,0.41,0.571,0.981,26,88,1,126
Á¶¼ºÈ¯,¿ì¿ì,2010,2000,0.336,0.391,0.469,0.86,8,52,3,133
À¯ÇÑÁØ,¿ì¿ì,2016,2010,0.336,0.407,0.493,0.9,14,64,8,144
°­¹éÈ£,¿ìÁÂ,2019,2010,0.336,0.419,0.495,0.915,13,65,4,144
ÀÌÁ¤ÈÄ,¿ìÁÂ,2019,2010,0.336,0.387,0.456,0.843,6,68,5,144
ÀÌÁ¤ÈÆ,ÁÂÁÂ,1987,1980,0.335,0.385,0.441,0.826,4,34,3,108
ÀÌ°­µ·,ÁÂÁÂ,1990,1980,0.335,0.402,0.518,0.92,16,84,1,120
ÇÑ´ëÈ­,¿ì¿ì,1990,1980,0.335,0.437,0.505,0.942,15,86,2,120
¹ÚÁ¤ÅÂ,¿ì¿ì,1992,1990,0.335,0.427,0.539,0.967,14,79,2,126
½ÉÁ¤¼ö,¿ì¿ì,1999,1990,0.335,0.41,0.606,1.017,31,110,5,132
µ¥ÀÌºñ½º,ÁÂÁÂ,2001,2000,0.335,0.409,0.558,0.967,30,96,4,133
È£¼¼,¿ì¾ç,2001,2000,0.335,0.507,0.695,1.202,36,102,5,133
½ÉÁ¤¼ö,¿ì¿ì,2003,2000,0.335,0.484,0.72,1.204,53,142,2,133
ÀÌ´ëÈ£,¿ì¿ì,2007,2000,0.335,0.458,0.6,1.058,29,87,3,126
¹Ú°Ç¿ì,¿ì¿ì,2016,2010,0.335,0.391,0.55,0.94,20,83,9,144
È²Àç±Õ,¿ì¿ì,2016,2010,0.335,0.399,0.57,0.97,27,113,10,144
¼Õ¾Æ¼·,¿ìÁÂ,2017,2010,0.335,0.422,0.514,0.936,20,80,9,144
½Å°æ½Ä,ÁÂÁÂ,1982,1980,0.334,0.382,0.468,0.849,4,54,4,80
ÀÌ¿µ¿ì,ÁÂÁÂ,1999,1990,0.334,0.4,0.522,0.923,13,49,6,132
µ¥ÀÌºñ½º,ÁÂÁÂ,2000,1990,0.334,0.372,0.566,0.938,22,80,5,133
°íÁ¾¿í,¿ìÁÂ,2016,2010,0.334,0.373,0.455,0.828,8,72,11,144
±èÀçÈ¯,¿ìÁÂ,2018,2010,0.334,0.41,0.657,1.067,44,133,10,144
±è¼ºÇÑ,¿ì¿ì,1985,1980,0.333,0.396,0.575,0.971,22,75,3,110
³ëÂù¿±,¿ì¿ì,1990,1980,0.333,0.408,0.45,0.857,5,51,3,120
È«Çö¿ì,¿ì¿ì,1992,1990,0.333,0.443,0.529,0.972,17,97,3,126
¾È°æÇö,¿ì¿ì,2003,2000,0.333,0.395,0.467,0.862,10,72,3,133
ÀÌ¿ë±Ô,ÁÂÁÂ,2011,2010,0.333,0.424,0.401,0.825,3,33,4,133
±¸ÀÚ¿í,¿ìÁÂ,2018,2010,0.333,0.393,0.533,0.926,20,84,11,144
ÀÌ´ëÈ£,¿ì¿ì,2018,2010,0.333,0.397,0.593,0.99,37,125,12,144
ÃÖÁÖÈ¯,¿ìÁÂ,2018,2010,0.333,0.403,0.582,0.985,26,108,13,144
ÀÌÁ¤ÈÄ,¿ìÁÂ,2020,2010,0.333,0.397,0.524,0.921,15,101,6,144
±è¼º·¡,¿ì¿ì,1987,1980,0.332,0.416,0.569,0.985,22,70,4,108
ÀÌÁ¾¹ü,¿ì¿ì,1996,1990,0.332,0.426,0.566,0.992,25,76,2,126
È«Çö¿ì,¿ì¿ì,1996,1990,0.332,0.455,0.533,0.988,17,67,3,126
ÆäÅ¸Áö´Ï,ÁÂÁÂ,2009,2000,0.332,0.474,0.575,1.048,26,100,6,133
ÀÌ½Â¿±,ÁÂÁÂ,2015,2010,0.332,0.391,0.562,0.953,26,90,7,144
¼­°ÇÃ¢,¿ìÁÂ,2017,2010,0.332,0.406,0.429,0.834,6,76,10,144
ÀÌ¸í±â,ÁÂÁÂ,2017,2010,0.332,0.363,0.459,0.823,9,63,11,144
Çã°æ¹Î,¿ì¿ì,2020,2010,0.332,0.382,0.442,0.824,7,58,7,144
±èºÀ¿¬,¿ì¿ì,1982,1980,0.331,0.406,0.636,1.042,22,52,5,80
±èÁ¾¸ð,¿ì¿ì,1987,1980,0.331,0.376,0.458,0.834,9,41,5,108
È«¼ºÈç,¿ì¿ì,2008,2000,0.331,0.371,0.442,0.814,8,63,2,126
ÀÌÁø¿µ,ÁÂÁÂ,2010,2000,0.331,0.383,0.46,0.843,7,50,4,133
¹ÚÇÑÀÌ,ÁÂÁÂ,2014,2010,0.331,0.395,0.443,0.838,9,80,12,128
Ã¤Àº¼º,¿ì¿ì,2018,2010,0.331,0.382,0.548,0.93,25,119,14,144
±èÇö¼ö,¿ìÁÂ,2020,2010,0.331,0.397,0.523,0.92,22,119,8,144
·¯ÇÁ,¿ì¿ì,2018,2010,0.33,0.424,0.605,1.029,33,125,15,144
°­¹éÈ£,¿ìÁÂ,2020,2010,0.33,0.411,0.544,0.955,23,89,9,144
Çã±Ô¿Á,ÁÂÁÂ,1985,1980,0.329,0.377,0.45,0.826,3,22,4,110
ÀåÈ¿Á¶,ÁÂÁÂ,1986,1980,0.329,0.44,0.467,0.907,6,41,1,108
