name,code,year,g,tpa,ab,h,2b,3b,hr,tb,rbi,sb,cs,sh,sf,bb,ibb,hbp,so,gidp,e,avg_risp,ops_risp
오지환,79109,2016,121,472,393,110,14,5,20,194,78,17,9,2,5,65,0,7,97,7,17,0.266 ,0.871 
정주현,79150,2016,99,257,225,50,12,1,1,67,22,5,5,2,2,28,0,0,66,1,7,0.160 ,0.521 
채은성,79192,2016,128,451,403,126,20,3,9,179,81,7,3,2,8,31,0,7,75,9,4,0.346 ,0.910 
박건우,79215,2016,132,540,484,162,36,4,20,266,83,17,6,4,5,38,0,9,86,9,3,0.331 ,0.919 
정수빈,79231,2016,114,305,269,65,7,2,2,82,20,12,4,4,1,25,0,6,48,7,2,0.243 ,0.723 
허경민,79240,2016,144,609,538,154,24,4,7,207,81,6,6,6,2,49,1,14,58,14,8,0.321 ,0.875 
박동원,79365,2016,127,454,411,102,25,1,14,171,70,3,1,6,3,27,0,7,93,18,7,0.250 ,0.746 
김상수,79402,2016,105,401,358,97,13,0,3,119,38,6,4,8,4,23,0,8,39,9,15,0.236 ,0.610 
오정복,79453,2016,96,344,306,93,11,2,5,123,36,1,0,6,4,28,1,0,32,5,3,0.313 ,0.821 
이지영,79456,2016,129,419,390,116,12,0,7,149,50,3,2,8,2,12,0,7,32,13,10,0.341 ,0.756 
배영섭,79465,2016,93,381,323,86,17,0,4,115,22,5,8,1,1,51,0,5,42,10,0,0.189 ,0.600 
이호준,94629,2016,119,472,399,119,20,0,21,202,87,3,2,2,4,65,6,2,78,11,0,0.342 ,1.068 
이승엽,95436,2016,142,623,542,164,32,2,27,281,118,5,2,0,8,65,1,8,89,7,0,0.330 ,1.038 
정성훈,99606,2016,126,418,370,119,22,1,6,161,64,8,4,5,5,33,1,5,59,9,4,0.321 ,0.904 
이진영,99810,2016,115,424,371,123,23,1,10,178,72,2,5,0,5,45,1,3,44,13,0,0.333 ,0.943 
이해창,60343,2017,114,283,254,69,11,0,11,113,44,1,4,6,2,19,1,1,50,5,6,0.310 ,0.895 
오태곤,60558,2017,122,384,355,104,29,1,8,159,38,11,8,8,6,12,0,3,85,6,9,0.229 ,0.579 
유강남,61102,2017,118,364,324,90,13,0,17,154,66,2,0,9,2,14,0,15,72,4,4,0.383 ,1.104 
이천웅,61186,2017,75,266,232,66,14,0,2,86,27,8,3,4,0,24,2,6,45,10,4,0.380 ,1.060 
고종욱,61353,2017,123,453,426,133,24,8,8,197,54,16,4,0,2,22,2,3,92,11,5,0.288 ,0.747 
김헌곤,61404,2017,123,404,356,94,13,2,9,138,47,11,2,8,3,29,0,8,45,11,2,0.326 ,0.938 
류지혁,62234,2017,125,330,297,77,13,4,3,107,26,7,5,8,0,21,0,4,55,2,15,0.225 ,0.638 
구자욱,62404,2017,144,647,564,175,39,10,21,297,107,10,4,0,10,63,1,10,138,1,5,0.352 ,1.032 
박해민,62415,2017,144,638,570,162,25,8,7,224,54,40,12,8,9,50,0,1,78,6,1,0.293 ,0.865 
신본기,62556,2017,128,381,325,77,11,0,5,103,47,5,2,13,5,25,1,13,76,8,10,0.283 ,0.759 
하주석,62700,2017,111,470,432,123,18,8,11,190,52,7,6,9,1,23,0,5,83,6,9,0.313 ,0.848 
양성우,62797,2017,118,417,358,99,26,1,2,133,40,4,4,7,2,38,0,12,51,8,4,0.284 ,0.767 
김민식,62864,2017,135,391,351,78,9,2,4,103,40,3,3,7,2,26,0,5,55,7,8,0.340 ,0.804 
한동민,62895,2017,103,414,350,103,21,2,29,215,73,2,2,0,3,46,2,15,79,8,5,0.226 ,0.935 
박민우,62907,2017,106,452,388,141,25,4,3,183,47,11,1,3,4,46,0,11,51,8,7,0.356 ,0.921 
김성욱,62934,2017,124,347,308,76,18,4,6,120,31,10,4,1,5,24,1,9,59,4,0,0.267 ,0.723 
나성범,62947,2017,125,561,498,173,42,2,24,291,99,17,7,0,3,48,10,12,116,8,8,0.345 ,0.981 
강승호,63123,2017,85,268,248,62,14,2,5,95,31,2,2,3,7,7,0,3,67,5,12,0.242 ,0.706 
정현,63450,2017,124,399,350,105,20,3,6,149,42,4,2,6,3,18,0,22,69,14,10,0.280 ,0.735 
노수광,63704,2017,126,406,367,106,18,3,6,148,39,15,9,4,5,22,1,8,81,3,5,0.239 ,0.643 
권희동,63963,2017,141,554,472,135,20,2,19,216,86,3,3,7,7,51,1,17,90,12,3,0.333 ,0.963 
심우준,64006,2017,103,303,286,82,15,2,4,113,26,18,5,4,1,8,0,4,58,4,19,0.333 ,0.825 
양석환,64153,2017,132,496,445,117,27,3,14,192,83,3,7,2,5,38,2,6,93,13,8,0.336 ,1.025 
