시즌,팀,남녀부,경기,세트,득점,공격종합_성공,공격종합_블로킹,공격종합_범실,공격종합_연결,공격종합_시도,공격종합_성공률,오픈_성공,오픈_블로킹,오픈_범실,오픈_연결,오픈_시도,오픈_성공률,속공_성공,속공_블로킹,속공_범실,속공_연결,속공_시도,속공_성공률,퀵오픈_성공,퀵오픈_블로킹,퀵오픈_범실,퀵오픈_연결,퀵오픈_시도,퀵오픈_성공률,시간차_성공,시간차_블로킹,시간차_범실,시간차_연결,시간차_시도,시간차_성공률,이동_성공,이동_블로킹,이동_범실,이동_계속,이동_시도,이동_성공률,후위_성공,후위_블로킹,후위_범실,후위_연결,후위_시도,후위_성공률,블로킹_성공,유효블로킹,블로킹_실패,블로킹_범실,블로킹_연결,블로킹_시도,블로킹_세트당_평균,블로킹_어시스트,서브_성공,서브_범실,서브_연결,서브_시도,서브_세트당_평균,벌칙,개인범실,팀범실,세트_성공,세트_범실,세트_연결,세트_시도,세트_세트당_평균,리시브_정확,리시브_실패,리시브_연결,리시브_시도,리시브_효율,디그_성공,디그_범실,디그_실패,디그_시도,디그_세트당_평균
2019~2020,OK저축은행,남,32,125,2744,1543,329,249,911,3032,50.89,417,126,95,325,963,43.3,231,31,26,138,426,54.22,450,86,38,268,842,53.44,52,5,4,27,88,59.09,,,,,,,393,81,86,153,713,55.11,255,348,613,33,218,1434,2.04,222,189,521,2037,2747,1.512,,847,5,1461,33,1564,3058,11.68,913,159,1268,2340,32.22,1088,373,11,1472,8.704
2019~2020,삼성,남,32,124,2704,1540,309,242,981,3072,50.13,587,135,126,434,1282,45.78,206,17,15,146,384,53.64,393,72,34,199,698,56.3,35,6,,14,55,63.63,,,,,,,319,79,67,188,653,48.85,242,446,693,33,240,1621,1.951,197,128,404,2179,2711,1.032,,724,13,1466,38,1636,3140,11.82,839,179,1308,2326,28.37,1199,365,7,1571,9.669
2019~2020,KB손보,남,33,136,2952,1705,365,279,1133,3482,48.96,527,144,118,467,1256,41.95,201,19,15,157,392,51.27,470,91,49,252,862,54.52,53,5,8,19,85,62.35,,,,,,,454,106,89,238,887,51.18,310,416,731,41,300,1757,2.279,257,130,429,2406,2965,0.955,,781,2,1643,26,1859,3528,12.08,1072,153,1378,2603,35.3,1285,460,6,1751,9.448
2019~2020,한국전력,남,32,123,2621,1517,310,248,1170,3245,46.74,489,120,89,508,1206,40.54,169,26,27,100,322,52.48,456,85,52,259,852,53.52,70,8,13,38,129,54.26,,,,,,,333,71,67,265,736,45.24,246,378,653,29,254,1531,2,187,101,369,2174,2644,0.821,,683,8,1452,32,1812,3296,11.8,988,164,1319,2471,33.34,1207,434,5,1646,9.813
2019~2020,현대,여,27,105,2359,1453,212,272,1757,3694,39.33,764,136,158,1069,2127,35.91,195,13,18,158,384,50.78,292,28,50,270,640,45.62,37,3,3,28,71,52.11,8,1,2,10,21,38.09,157,31,41,222,451,34.81,259,698,505,36,310,1772,2.466,213,128,238,1980,2346,1.219,,582,3,1341,30,2364,3735,12.77,763,123,1157,2043,31.32,2062,407,6,2475,19.63
2019~2020,GS,여,27,104,2405,1457,253,244,1701,3655,39.86,719,146,137,951,1953,36.81,80,10,13,107,210,38.09,402,56,50,404,912,44.07,37,2,1,35,75,49.33,24,3,3,36,66,36.36,195,36,40,168,439,44.41,251,644,496,14,346,1737,2.413,212,140,243,2007,2390,1.346,,537,4,1367,27,2306,3700,13.14,756,117,1130,2003,31.9,2070,386,9,2465,19.9
2019~2020,흥국,여,27,110,2459,1498,183,260,2186,4127,36.29,738,108,148,1251,2245,32.87,89,9,14,130,242,36.77,309,30,44,365,748,41.31,94,4,3,97,198,47.47,72,3,12,69,156,46.15,196,29,39,274,538,36.43,224,710,524,13,304,1762,2.036,177,128,206,2117,2451,1.163,,517,2,1418,25,2710,4153,12.89,735,104,1256,2095,30.11,2401,459,13,2873,21.82
2019~2020,KGC인삼공사,여,26,114,2462,1518,250,259,2010,4037,37.6,690,133,140,1099,2062,33.46,114,18,13,124,269,42.37,341,46,40,370,797,42.78,53,5,2,65,125,42.4,39,5,4,33,81,48.14,281,43,60,319,703,39.97,225,786,537,29,318,1866,1.973,194,120,237,2108,2465,1.052,,581,5,1448,40,2746,4234,12.7,867,149,1264,2280,31.49,2349,487,16,2852,20.6
2019~2020,IBK,여,27,106,2197,1322,219,284,1902,3727,35.47,600,117,155,1020,1892,31.71,104,12,11,119,246,42.27,389,52,52,462,955,40.73,55,6,9,53,123,44.71,42,5,5,48,100,42,132,27,52,200,411,32.11,198,701,534,22,278,1711,1.867,162,123,224,1867,2214,1.16,,576,9,1263,39,2529,3831,11.91,723,126,1291,2140,27.89,2086,440,7,2533,19.67
2019~2020,도로공사,여,26,103,2176,1343,220,267,2031,3861,34.78,526,102,146,1014,1788,29.41,103,9,13,143,268,38.43,497,84,46,569,1196,41.55,58,1,2,59,120,48.33,32,4,4,36,76,42.1,127,20,56,210,413,30.75,180,650,505,25,274,1609,1.747,148,115,223,1854,2192,1.116,,555,5,1264,32,2646,3942,12.27,959,135,1004,2098,39.27,2230,431,8,2669,21.65
