시즌,남녀부,세트_id,플레이팀,득점,블로킹,디그,리시브효율,서브효율,공격효율,오픈점유율,시간차점유율,이동점유율,백어택점유율,속공점유율,퀵오픈점유율,오픈효율,시간차효율,이동효율,백어택효율,속공효율,퀵오픈효율,상대_득점,상대_서브,상대_디그,상대_블로킹,상대_리시브효율,상대_서브효율,상대_공격효율,승리,서브,서브.성공.득점,리시브,리시브.정확,리시브.실패,공격,공격.득점,공격.범실,오픈,시간차,이동,백어택,속공,퀵오픈,유효블로킹,서브_우위,디그_우위,블로킹_우위,리시브_우위,공격_우위
1920,남,50-2,현대캐피탈,25,1,11,0.4736842105,0.5714285714,0.40625,0.25,0,0,0.25,0.25,0.25,0.375,0,0,0,0.5,0.75,22,0,15,1,0.5714285714,0.4736842105,0.3333333333,1,1,1,19,9,0,32,17,3,8,0,0,8,8,8,6,1,0,1,0,1
1920,남,50-3,우리카드,25,3,14,0.4,0.652173913,0.3913043478,0.3043478261,0,0,0.1739130435,0.2173913043,0.3043478261,0.2857142857,0,0,0.25,0.8,0.2857142857,18,0,9,1,0.652173913,0.4,0.1666666667,1,2,2,15,6,0,23,13,3,7,0,0,4,5,7,5,1,1,1,0,1
1920,남,50-3,현대캐피탈,18,1,9,0.652173913,0.4,0.1666666667,0.4,0.06666666667,0,0.1333333333,0.3,0.1,0.3333333333,0.08333333333,0,-0.5,0.3333333333,0.3333333333,25,2,14,3,0.4,0.652173913,0.3913043478,0,0,0,23,17,2,30,12,4,12,2,0,4,9,3,3,0,0,0,1,0
1920,남,50-4,우리카드,25,3,9,0.4,0.3333333333,0.55,0.4,0.05,0,0.3,0.05,0.2,0.375,0.125,0,0.5,1,0.75,16,2,7,0,0.3333333333,0.4,0.25,1,2,2,15,8,2,20,13,2,8,1,0,6,1,4,2,0,1,1,1,1
1920,남,50-4,현대캐피탈,16,0,7,0.3333333333,0.4,0.25,0.2083333333,0.04166666667,0,0.3333333333,0.2083333333,0.2083333333,0.4,0,0,0.375,0.4,-0.2,25,2,9,3,0.4,0.3333333333,0.55,0,2,2,24,10,2,24,11,2,5,1,0,8,5,5,1,1,0,0,0,0
1920,남,51-1,KB손해보험,25,4,7,0.5384615385,0.1176470588,0.4444444444,0.2777777778,0.1111111111,0,0.3333333333,0.1666666667,0.1111111111,0.2,0.4,0,0.1666666667,0.6666666667,1,16,0,12,1,0.1176470588,0.5384615385,-0.04761904762,1,3,3,13,7,0,18,10,1,5,2,0,6,3,2,3,0,0,1,1,1
1920,남,51-1,OK저축은행,16,1,12,0.1176470588,0.5384615385,-0.04761904762,0.2857142857,0.04761904762,0,0.3333333333,0.1428571429,0.1904761905,0,0,0,0,0,0.25,25,3,7,4,0.5384615385,0.1176470588,0.4444444444,0,0,0,17,5,3,21,6,3,6,1,0,7,3,4,3,1,1,0,0,0
1920,남,51-2,KB손해보험,16,1,7,0.2105263158,0.4285714286,-0.1052631579,0.2631578947,0,0,0.2631578947,0.05263157895,0.4210526316,0,0,0,-0.4,-1,0.5,25,3,2,6,0.4285714286,0.2105263158,0.375,0,1,1,19,7,3,19,7,3,5,0,0,5,1,8,2,1,1,0,0,0
1920,남,51-2,OK저축은행,25,6,2,0.4285714286,0.2105263158,0.375,0.375,0,0,0.0625,0.3125,0.25,0.1666666667,0,0,0,0.8,0.5,16,1,7,1,0.2105263158,0.4285714286,-0.1052631579,1,3,3,14,7,1,16,9,2,6,0,0,1,5,4,1,0,0,1,1,1
1920,남,51-3,KB손해보험,19,3,6,0.2380952381,0.3,0.3636363636,0.1818181818,0.04545454545,0,0.2727272727,0.1818181818,0.3181818182,-0.25,0,0,0.6666666667,0.75,0.2857142857,25,3,12,2,0.3,0.2380952381,0.2777777778,0,1,1,21,8,3,22,11,1,4,1,0,6,4,7,2,1,0,1,0,1
1920,남,51-3,OK저축은행,25,2,12,0.3,0.2380952381,0.2777777778,0.5,0,0,0.1666666667,0.05555555556,0.2777777778,0.4444444444,0,0,0.3333333333,1,0.2,19,1,6,3,0.2380952381,0.3,0.3636363636,1,3,3,10,4,1,18,8,0,9,0,0,3,1,5,4,0,1,0,1,0
