team,year,g,batters,tpa,ab,h,2b,3b,hr,bb,ibb,hbp,so,rbi,r,sh,sf,sb,cs,gidp,e
µÎ»ê,2019,144,1738,5669,4912,1364,235,31,84,562,16,73,799,692,736,39,83,102,38,117,83
ÇÑÈ­,2019,144,1738,5482,4882,1249,223,16,88,441,12,70,1090,562,607,44,45,105,51,112,106
ÇÑÈ­,2003,133,1739,5198,4458,1131,218,20,121,542,22,75,887,521,577,102,21,78,57,89,75
Çö´ë,1997,126,1742,4680,4032,994,179,19,82,424,33,72,720,459,497,122,28,112,78,92,107
NC,2014,128,1743,5031,4426,1249,228,36,143,443,9,67,918,697,737,44,51,154,47,90,87
·Ôµ¥,2020,144,1745,5669,4958,1366,252,6,131,569,18,55,875,711,750,39,48,90,31,148,77
ÇÑÈ­,1996,126,1747,4747,4081,1000,203,23,90,432,17,80,836,499,522,123,30,95,72,92,114
·Ôµ¥,2000,133,1747,5178,4557,1186,206,26,104,449,19,66,831,553,603,82,24,92,48,93,105
·Ôµ¥,2001,133,1747,5308,4521,1265,247,24,121,585,39,60,817,671,718,82,60,106,53,89,99
Çö´ë,2002,133,1748,5140,4444,1160,191,25,173,464,26,99,945,643,658,99,34,79,50,82,82
·Ôµ¥,1991,126,1750,4821,4128,1072,177,46,73,457,30,61,515,533,583,122,47,97,57,78,92
ÇÑÈ­,2010,133,1751,5009,4321,1053,160,13,104,497,10,80,943,508,543,75,33,121,70,106,80
LG,2002,133,1752,5121,4492,1173,212,22,100,412,29,86,951,541,583,93,37,140,63,91,91
LG,2004,133,1753,5081,4432,1150,176,24,102,441,18,95,892,554,588,73,40,69,48,89,104
ÇÑÈ­,2011,133,1754,5085,4367,1112,160,14,93,488,14,74,906,536,568,130,25,100,76,93,82
·Ôµ¥,2002,133,1757,4986,4512,1105,206,19,85,324,14,78,978,443,463,49,22,76,63,75,117
³Ø¼¾,2018,144,1757,5780,5141,1481,288,19,165,472,25,85,1208,787,825,32,50,101,33,93,106
ÇÑÈ­,2018,144,1764,5539,4972,1369,249,14,151,420,17,88,1098,668,729,31,28,118,64,113,99
È÷¾î·ÎÁî,2008,126,1765,4834,4317,1149,190,19,70,396,20,37,713,471,499,51,33,97,57,114,100
Å°¿ò,2020,144,1767,5721,4945,1332,254,25,127,608,16,73,1030,713,759,43,52,113,27,107,98
ÇÑÈ­,2012,133,1769,5057,4331,1077,208,12,71,538,17,61,907,479,509,100,27,107,53,102,73
³Ø¼¾,2015,144,1769,5811,5069,1512,304,20,203,544,18,82,1098,855,904,61,55,100,47,112,110
»ï¼º,2015,144,1771,5803,5019,1515,259,25,176,581,21,70,930,850,897,76,57,157,52,109,96
SK,2017,144,1772,5564,4925,1337,222,15,234,427,20,113,1100,733,761,57,41,53,42,97,108
SK,2018,144,1773,5682,4992,1403,234,13,233,483,6,119,1079,791,829,54,34,108,39,103,116
³Ø¼¾,2016,144,1780,5702,4990,1464,254,39,134,556,17,63,956,765,813,34,59,154,83,121,94
NC,2019,144,1783,5631,4968,1383,249,26,128,456,14,83,880,639,674,64,60,86,45,126,95
»ï¼º,2017,144,1786,5707,5095,1419,255,36,145,429,17,70,983,703,757,58,55,98,37,97,95
ÇÑÈ­,2017,144,1787,5665,5030,1445,261,16,150,416,15,94,974,684,737,85,38,64,44,112,91
LG,2018,144,1789,5665,5070,1487,299,12,148,418,14,75,1001,740,788,51,51,71,38,125,100
ÇÑÈ­,2002,133,1791,5062,4491,1148,206,10,170,446,22,49,1064,570,603,52,22,94,65,106,85
ÇÑÈ­,2000,133,1796,5203,4600,1270,265,14,180,449,19,66,997,655,680,45,43,78,49,130,120
LG,2001,133,1803,5319,4521,1247,219,24,85,590,24,52,759,630,669,114,41,96,58,100,103
ÇÑÈ­,2001,133,1807,5259,4556,1255,211,15,148,549,28,45,877,628,659,75,34,135,65,106,117
KIA,2019,144,1807,5505,4874,1286,248,19,76,496,13,59,919,566,605,31,45,87,42,108,110
»ï¼º,1995,126,1808,4752,4188,1047,199,20,94,384,21,92,723,516,558,55,32,100,44,77,127
»ï¼º,2016,144,1808,5863,5093,1492,249,34,142,552,15,75,864,792,852,88,55,104,50,119,90
KIA,2020,144,1809,5642,4937,1355,224,13,130,535,10,69,957,692,724,63,38,47,25,114,82
µÎ»ê,2016,144,1812,5841,5044,1504,284,25,183,600,11,86,884,877,935,43,68,85,45,121,79
³Ø¼¾,2017,144,1813,5712,5098,1479,267,30,141,468,15,83,1066,748,789,21,42,70,34,129,91
·Ôµ¥,2015,144,1821,5680,4972,1393,254,19,177,532,22,68,1186,727,765,80,28,104,50,136,114
·Ôµ¥,2019,144,1821,5488,4919,1231,214,22,90,430,12,64,1085,545,578,35,40,62,31,108,114
KT,2018,144,1822,5605,5026,1382,264,13,206,464,14,46,1109,721,757,43,26,80,57,103,99
µÎ»ê,2017,144,1825,5833,5102,1499,270,20,178,541,19,95,960,812,849,48,47,69,33,120,90
LG,2019,144,1825,5536,4928,1316,233,15,94,434,17,77,962,604,641,49,48,108,47,117,95
SK,2016,144,1834,5672,5023,1464,234,19,182,429,13,102,1018,715,753,71,47,89,60,104,123
µÎ»ê,2018,144,1837,5870,5176,1601,284,30,191,496,16,92,1016,898,944,43,63,96,23,112,77
·Ôµ¥,2016,144,1840,5784,5001,1439,252,20,127,596,18,83,1061,732,777,62,41,145,64,120,91
·Ôµ¥,2017,144,1844,5671,4994,1425,250,17,151,457,33,112,1018,697,743,76,32,92,44,146,86
SK,2015,144,1845,5588,4861,1323,214,10,145,490,13,98,1047,656,693,110,29,94,59,113,95
KT,2017,144,1864,5484,4936,1360,274,17,119,374,11,66,1017,625,655,62,45,86,51,118,112
»ï¼º,2020,144,1865,5574,4923,1317,211,12,129,486,10,62,990,658,699,50,53,132,49,117,84
ÇÑÈ­,2020,144,1886,5483,4862,1189,195,12,79,462,9,89,1163,523,551,45,25,51,36,119,86
KT,2019,144,1887,5579,4962,1374,186,20,103,476,15,51,974,615,650,45,45,104,44,113,102
ÇÑÈ­,2016,144,1888,5838,5109,1478,242,27,142,510,19,91,1025,787,826,87,41,64,38,123,124
LG,2017,144,1896,5614,4944,1390,216,20,110,438,17,101,1021,664,699,76,55,77,56,123,103
µÎ»ê,2020,144,1897,5776,5046,1477,263,20,125,551,20,68,796,778,816,38,73,88,37,132,76
SK,2020,144,1897,5502,4839,1212,177,17,143,511,18,69,981,595,634,49,34,81,45,112,91
ÇÑÈ­,2015,144,1899,5713,4850,1316,218,19,130,581,33,109,1133,667,717,139,35,80,47,112,105
·Ôµ¥,2018,144,1910,5764,5130,1484,289,17,203,471,22,81,1157,792,821,45,37,68,32,124,117
KIA,2018,144,1918,5744,5036,1487,258,22,170,503,27,99,905,823,865,56,50,88,37,135,94
