season,pick,team,player,college,years,pos,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,trb,ast,stl,blk,tov,pf,pts,ws
1982,35,GSW,Derek Smith,Louisville,9,SG,408,214,9825,2031,4074,45,153,1125,1495,1300,866,265,175,700,1214,5232,18.3
1982,36,PHI,J.J. Anderson,Bradley,3,SF,157,2,1970,306,658,0,9,139,249,439,110,107,39,131,251,751,2.6
1982,37,POR,Audie Norris,Jackson State University,3,C,187,14,2585,283,554,0,3,253,382,576,147,85,69,247,513,819,2.9
1982,38,GSW,Wayne Sappleton,Loyola Chicago,1,PF,33,0,298,41,87,0,0,14,34,75,7,7,4,21,50,96,0.1
1982,40,IND,Guy Morgan,Wake Forest,1,SG,8,0,46,7,24,0,0,1,4,17,7,2,0,2,7,15,-0.1
1982,41,WSB,Dwight Anderson,USC,1,PG,5,0,33,7,14,0,0,7,10,2,3,1,0,5,7,21,0
1982,42,HOU,Jeff Taylor,Texas Tech,2,SG,56,5,818,70,170,0,1,39,56,82,113,42,16,68,86,179,-0.2
1982,43,IND,Jose Slaughter,University of Portland,1,SG,63,1,515,89,238,9,41,38,59,68,52,36,7,42,93,225,-0.1
1982,44,WSB,Mike Gibson,USC Upstate,2,PF,64,0,390,41,106,0,0,19,28,106,14,13,11,20,65,101,0.3
1982,45,PHI,Russ Schoene,Chattanooga,4,PF,290,10,3548,621,1428,62,185,187,249,735,175,121,71,228,573,1491,4.6
1982,47,CLE,Michael Wilson,Marquette,3,SG,32,0,338,39,89,0,1,30,40,36,45,15,5,28,36,108,0.2
1982,48,SDC,Craig Hodges,Cal State Long Beach,10,SG,695,256,15077,2363,5129,563,1408,651,786,937,1769,553,26,815,1368,5940,27.3
1982,50,DAL,Corny Thompson,UConn,1,PF,44,2,520,43,137,0,0,36,46,120,34,12,7,31,92,122,-0.1
1982,51,KCK,Jim Johnstone,Wake Forest,1,PF-C,23,0,191,11,30,0,0,9,20,46,11,3,7,15,33,31,-0.1
1982,55,UTA,Jerry Eaves,Louisville,4,PG,168,8,2685,416,882,1,14,299,387,208,414,85,8,251,218,1132,2.6
1982,56,ATL,Joe Kopicki,Detroit Mercy,3,PF,118,3,1187,137,278,3,11,155,191,314,84,37,8,75,150,432,3.5
1982,60,GSW,Chris Engler,Wyoming,5,C,195,2,1405,138,336,0,0,67,99,386,45,32,42,91,274,343,0.7
1982,61,PHO,Charles Pittman,Maryland,4,PF,234,28,3292,379,694,0,5,302,425,718,204,75,73,310,454,1060,4.2
1982,63,HOU,Chuck Nevitt,NC State,9,C,155,0,826,99,226,0,0,53,90,239,19,18,111,80,211,251,0.5
1982,65,SEA,John Greig,Oregon,1,SF,9,0,26,7,13,0,0,5,6,6,0,0,1,2,4,19,0.1
1982,69,BOS,Perry Moss,Northeastern University,2,PG,136,0,1710,207,499,8,46,114,158,210,198,98,18,136,228,536,0.9
1982,72,UTA,Mark Eaton,UCLA,11,C,875,815,25169,2072,4526,0,2,1072,1653,6939,840,368,3064,1293,2955,5216,44.7
1982,74,KCK,Mike Sanders,UCLA,11,SF,648,209,12391,2167,4499,19,86,809,1052,1927,880,464,206,731,1675,5162,18
1982,76,CHI,Chuck Aleksinas,UConn,1,C,74,4,1114,161,337,0,1,55,75,270,36,15,15,72,171,377,0.4
1982,78,DET,Walker Russell,Western Michigan,6,PG,155,3,1767,179,456,6,38,100,125,187,350,57,10,201,195,464,-0.7
1982,82,NJN,Tony Brown,Arkansas,7,SF,360,105,6006,860,1969,36,139,407,566,766,563,234,40,392,751,2163,4.9
1982,86,PHO,Rory White,University of South Alabama,5,SF,324,81,5410,971,1919,1,13,444,652,749,232,187,52,330,520,2387,6.5
1982,138,BOS,John Schweitz,Richmond,2,SG,22,0,117,25,75,0,4,7,10,22,18,0,1,16,14,57,-0.5
1982,140,SDC,Eddie Hughes,Colorado State,3,PG,97,8,1158,116,279,28,77,36,52,93,159,65,3,56,122,296,1.4
1982,166,KCK,Ed Nealy,Kansas State,10,PF,540,78,6792,553,1111,38,130,307,449,1799,392,256,51,226,893,1451,15.3
1982,221,PHO,Dale Wilkinson,Idaho State University,1,SF-PF,12,0,45,4,16,0,1,6,7,4,2,0,0,4,10,14,-0.1
1983,1,HOU,Ralph Sampson,Virginia,9,C,456,363,13591,2924,6012,10,58,1181,1786,4011,1038,390,752,1363,1590,7039,20
1983,2,IND,Steve Stipanovich,Missouri,5,C,403,365,12591,2015,4160,10,56,1283,1611,3131,938,415,380,777,1435,5323,30.4
1983,3,HOU,Rodney McCray,Louisville,10,SF,768,629,24876,3516,6997,57,219,1925,2529,5087,2750,585,493,1419,1734,9014,55.9
1983,4,SDC,Byron Scott,Arizona State,14,SG,1073,717,30152,5918,12268,775,2093,2486,2985,2987,2729,1224,276,1597,2051,15097,75.3
1983,5,CHI,Sidney Green,UNLV,10,PF,679,242,13247,1993,4386,1,27,1093,1481,4128,635,369,223,1038,1797,5080,17.4
1983,6,GSW,Russell Cross,Purdue,1,C,45,0,354,64,112,0,0,38,91,82,22,12,7,19,58,166,0.8
1983,7,UTA,Thurl Bailey,NC State,12,PF,928,229,24873,4753,10056,4,35,2324,2863,4718,1298,435,1086,1444,1843,11834,45
1983,8,DET,Antoine Carr,Wichita State,16,PF,987,168,19780,3663,7286,6,46,1844,2364,3384,1086,361,925,1187,3063,9176,42.1
1983,9,DAL,Dale Ellis,Tennessee,17,SF,1209,589,34778,7323,15275,1719,4266,2639,3365,4201,1746,974,183,1771,2480,19004,84.6
1983,10,WSB,Jeff Malone,Mississippi State,13,SG,905,755,29660,7099,14674,86,321,2947,3383,2364,2154,577,100,1538,1695,17231,54.2
1983,11,DAL,Derek Harper,Illinois,16,PG,1199,883,37786,6191,13384,1070,3026,2554,3426,2884,6577,1957,304,2334,2755,16006,86.8
1983,12,NYK,Darrell Walker,Arkansas,10,PG,720,356,18601,2469,5682,6,102,1445,2027,3134,3276,1090,225,1461,1827,6389,27.3
1983,13,KCK,Ennis Whatley,Alabama,10,PG,385,193,7108,845,1805,3,31,457,605,679,1754,383,44,687,711,2150,9.5
1983,14,POR,Clyde Drexler,Houston,15,SG,1086,950,37537,8335,17673,827,2603,4698,5962,6677,6125,2207,719,2977,3285,22195,135.6
1983,15,DEN,Howard Carter,LSU,2,SG,66,5,754,149,339,5,22,48,62,89,75,20,4,50,85,351,0
1983,16,SEA,Jon Sundvold,Missouri,9,PG,502,71,8811,1647,3642,226,576,366,431,554,1469,220,5,560,601,3886,8.9
1983,17,PHI,Leo Rautins,Syracuse,2,SF,32,3,208,21,60,0,0,6,10,35,32,9,2,20,34,48,-0.1
1983,18,MIL,Randy Breuer,Minnesota,11,C,681,285,12499,1898,4060,0,4,803,1278,2986,616,305,750,676,1464,4599,21
1983,19,SAS,John Paxson,Notre Dame,11,PG,772,369,17257,2403,4812,273,769,481,598,906,2758,517,44,651,1430,5560,36.3
1983,20,CLE,Roy Hinson,Rutgers University,8,SF,507,391,15543,2776,5568,0,12,1654,2232,3452,495,306,882,1009,1888,7206,30.2
1983,21,BOS,Greg Kite,BYU,12,C,680,225,10080,716,1634,1,6,284,584,2607,345,171,414,543,1589,1717,5.7
1983,22,WSB,Randy Wittman,Indiana,9,SG,543,262,11594,1823,3636,17,53,371,493,760,1201,257,65,441,559,4034,17.1
1983,23,IND,Mitchell Wiggins,Florida State,6,SG,389,135,8105,1596,3468,14,73,671,889,1235,609,397,34,453,942,3877,15.3
1983,24,CLE,Stewart Granger,Villanova,3,PG,80,14,996,123,297,4,17,66,89,78,173,33,1,91,127,316,-0.1
1983,25,CHI,Sidney Lowe,NC State,4,PG,193,40,3422,198,540,4,30,162,212,335,749,191,9,191,282,562,4
1983,26,IND,Leroy Combs,Oklahoma State,1,SF,48,0,446,81,163,0,3,56,91,56,38,23,18,46,49,218,0.4
1983,27,CLE,John Garris,Boston College,1,PF,33,1,267,52,102,0,0,27,34,77,10,8,6,11,40,131,0.9
1983,28,PHO,Rod Foster,UCLA,3,PG,207,35,3446,631,1434,72,242,228,297,258,479,137,10,286,441,1562,2.2
1983,29,CHI,Larry Micheaux,Houston,2,PF,96,0,897,140,247,0,3,50,82,256,49,41,32,57,121,330,2.5
1983,30,DAL,Mark West,Old Dominion,17,C,1090,548,20213,2528,4356,0,4,1203,2117,5347,428,326,1403,1208,3136,6259,41.9
1983,31,ATL,Doc Rivers,Marquette,13,PG,864,605,23567,3295,7416,361,1101,2426,3093,2625,4889,1563,351,1651,2660,9377,68.2
1983,33,DAL,Dirk Minniefield,Kentucky,3,PG,222,60,3801,493,1050,25,92,176,238,367,845,196,11,358,472,1187,4.1
1983,34,WSB,Guy Williams,Washington State,2,SF,26,0,144,31,68,1,4,5,11,33,9,6,4,8,24,68,0.1
1983,35,SAS,Darrell Lockhart,Auburn,1,C,2,0,14,2,2,0,0,0,0,3,0,0,0,2,5,4,0
1983,36,SEA,Scooter McCray,Louisville,3,PF,77,8,892,83,196,0,0,58,95,190,74,21,26,68,114,224,0.4
1983,38,KCK,Chris McNealy,San Jose State,3,PF,108,22,1864,181,397,0,0,104,158,494,110,90,30,116,274,466,2.6
1983,39,POR,Granville Waiters,Ohio State,5,C,249,39,2547,270,589,0,5,66,118,540,121,56,185,153,410,606,1.8
1983,40,IND,Jim Thomas,Indiana,4,SG,161,67,3361,541,1148,9,53,264,346,418,377,142,12,210,322,1355,5
1983,43,GSW,Pace Mannion,Utah,6,SF,216,4,2125,257,623,16,79,130,196,259,231,107,21,132,238,660,1.6
1983,46,SAS,Kevin Williams,St. John's,5,SG,260,13,2947,495,1138,2,26,276,343,356,319,167,34,254,580,1268,2.6
1983,48,HOU,Craig Ehlo,Washington State,14,SG,873,321,21071,2977,6579,621,1684,917,1330,3139,2456,989,232,1225,1695,7492,41.1
1983,50,CLE,Paul Thompson,Tulane,3,SF,154,45,3105,568,1315,17,81,221,279,533,224,141,79,160,360,1374,4.9
1983,53,GSW,Michael Holton,UCLA,6,PG,325,122,5836,796,1805,28,109,396,491,459,977,208,30,409,577,2016,4.7
1983,54,UTA,Bob Hansen,Iowa,9,SG,575,325,11104,1642,3512,165,511,503,760,1282,947,359,50,562,1199,3952,15.4
1983,57,WSB,Darren Daye,UCLA,5,SF,328,22,5208,849,1730,2,17,525,771,844,672,191,53,429,607,2225,9.3
1983,58,ATL,John Pinone,Villanova,1,SF,7,0,65,7,13,0,0,6,10,10,3,2,1,5,11,20,0.1
1983,59,NJN,Bruce Kuczenski,UConn,1,PF,15,2,119,10,37,0,0,8,12,23,8,1,1,15,18,28,-0.4
1983,62,POR,Tom Piotrowski,La Salle,1,C,18,0,78,12,26,0,0,6,6,16,5,1,3,6,22,30,0.1
1983,75,CHI,Ron Crevier,Boston College,1,C,3,0,4,0,3,0,0,0,2,1,0,0,0,0,2,0,-0.1
1983,77,GSW,Peter Thibeaux,Saint Mary's,2,SF,93,9,992,194,428,2,7,72,115,144,45,34,32,73,167,462,0.1
1983,82,NYK,Mark Jones,St. Bonaventure,1,PG,6,0,16,3,6,0,1,1,2,2,5,0,0,2,2,7,0
1983,90,SAS,Brant Weidner,William & Mary,1,PF,8,0,38,2,9,0,0,4,4,11,0,0,2,2,5,8,0
1983,91,BOS,Carlos Clark,Ole Miss,2,SG,93,3,689,83,204,0,7,57,71,86,65,43,3,54,79,223,0.6
1983,101,DET,Ken Austin,Rice University,1,SF,7,0,28,6,13,0,0,0,0,3,1,1,1,3,7,12,0
1983,102,DAL,Jim Lampley,Little Rock,1,C,1,0,16,1,3,0,0,1,2,5,0,1,0,1,0,3,0
1983,139,PHI,Sedale Threatt,West Virginia Tech,14,PG,951,304,22436,3914,8075,188,642,1311,1608,1709,3613,1138,136,1296,2178,9327,48.1
1983,152,KCK,Dane Suttle,Pepperdine,2,SG,46,1,493,115,227,0,4,42,49,49,48,21,0,33,49,272,0.9
1984,1,HOU,Hakeem Olajuwon,Houston,18,C,1238,1186,44222,10749,20991,25,124,5423,7621,13748,3058,2162,3830,3667,4383,26946,162.6
1984,2,POR,Sam Bowie,Kentucky,10,C,511,349,14098,2127,4702,32,106,1278,1708,3845,1075,263,909,978,1553,5564,26.8
1984,3,CHI,Michael Jordan,UNC,15,SG,1072,1039,41011,12192,24537,581,1778,7327,8772,6672,5633,2514,893,2924,2783,32292,213.9
1984,4,DAL,Sam Perkins,UNC,17,PF,1286,757,36598,5498,11984,849,2348,3479,4292,7666,1975,1105,933,1586,3177,15324,105.3
1984,5,PHI,Charles Barkley,Auburn,16,PF,1073,1012,39330,8435,15605,538,2020,6349,8643,12546,4215,1648,888,3376,3287,23757,177.1
1984,6,WSB,Melvin Turpin,Kentucky,5,C,361,127,6871,1297,2513,1,9,476,613,1655,183,155,348,431,853,3071,13.8
1984,7,SAS,Alvin Robertson,Arkansas,10,SG,779,680,24669,4412,9245,236,800,1822,2451,4066,3929,2112,323,2116,2638,10882,52.2
1984,8,LAC,Lancaster Gordon,Louisville,4,SG,201,6,2581,472,1208,23,85,158,206,259,294,128,31,237,266,1125,-2.7
1984,9,KCK,Otis Thorpe,Providence,17,PF,1257,989,39822,6872,12593,3,64,3853,5612,10370,2730,840,501,2774,4146,17600,106.6
1984,10,PHI,Leon Wood,Cal State Fullerton,6,PG,274,19,4531,598,1525,173,530,373,471,316,867,127,4,266,289,1742,6.8
1984,11,ATL,Kevin Willis,Michigan State,21,PF,1424,891,38362,7095,14572,40,190,3023,4238,11901,1328,958,750,2520,4172,17253,81.9
1984,12,CLE,Tim McCormick,Michigan,8,C,483,210,10390,1547,2893,1,16,935,1330,2366,491,139,187,619,1256,4030,21.5
1984,13,PHO,Jay Humphries,Colorado,11,PG,788,557,23062,3502,7362,219,738,1549,1981,2003,4339,1153,89,1533,2173,8772,45
1984,14,LAC,Michael Cage,San Diego State,15,C,1140,733,29716,3317,6445,0,25,1644,2476,8646,1057,1050,725,1161,2581,8278,74.4
1984,15,DAL,Terence Stansbury,Temple,3,SG,192,31,2984,468,1055,24,107,240,308,277,390,119,20,248,483,1200,2.4
1984,16,UTA,John Stockton,Gonzaga,19,PG,1504,1300,47764,7039,13658,845,2203,4788,5796,4051,15806,3265,315,4244,3942,19711,207.6
1984,17,NJN,Jeff Turner,Vanderbilt,10,PF,612,235,11244,1543,3304,73,212,538,700,2036,635,215,85,687,1758,3697,8.9
