name,code,year,tpa,ab,h
이용찬,77211,2008,0,0,0
이원재,77229,2008,0,0,0
이재영,72216,2008,0,0,0
이정호,71433,2008,0,0,0
이현승,76329,2008,0,0,0
이혜천,98259,2008,0,0,0
임경완,98521,2008,0,0,0
임태훈,77251,2008,0,0,0
전준호,94364,2008,0,0,0
정우람,74857,2008,0,0,0
정재훈,73241,2008,0,0,0
조용훈,76357,2008,0,0,0
진해수,76650,2008,0,0,0
최원제,77466,2008,0,0,0
코르테스,78551,2008,0,0,0
한기주,76610,2008,0,0,0
강영식,70615,2009,0,0,0
경헌호,70121,2009,0,0,0
고우석,73629,2009,0,0,0
김명제,75255,2009,0,0,0
김민기,97111,2009,0,0,0
김원형,91848,2009,0,0,0
김일엽,78543,2009,0,0,0
김태영,71255,2009,0,0,0
백정현,77446,2009,0,0,0
애킨스,79596,2009,0,0,0
양훈,75750,2009,0,0,0
오상민,97815,2009,0,0,0
오승환,75421,2009,0,0,0
윤규진,73750,2009,0,0,0
이보근,75342,2009,0,0,0
이용찬,77211,2009,0,0,0
이재영,72216,2009,0,0,0
이재우,71260,2009,0,0,0
이정훈,97541,2009,0,0,0
임경완,98521,2009,0,0,0
임준혁,73632,2009,0,0,0
임태훈,77251,2009,0,0,0
정우람,74857,2009,0,0,0
조용훈,76357,2009,0,0,0
최원제,77466,2009,0,0,0
하준호,78517,2009,0,0,0
가득염,92501,2010,0,0,0
강영식,70615,2010,0,0,0
고원준,79349,2010,0,0,0
고창성,78248,2010,0,0,0
고효준,72523,2010,0,0,0
권오준,99445,2010,0,0,0
권혁,72447,2010,0,0,0
김건태,60339,2010,0,0,0
김건한,71851,2010,0,0,0
김사율,99563,2010,0,0,0
김선규,75852,2010,0,0,0
김효남,76454,2010,0,0,0
노경은,73211,2010,0,0,0
데폴라,60729,2010,0,0,0
류택현,94228,2010,0,0,0
류현진,76715,2010,0,0,0
박건우,74363,2010,0,0,0
박경태,76653,2010,0,0,0
박성호,79760,2010,0,0,0
박성훈,75464,2010,0,0,0
박승민,70349,2010,0,0,0
박정배,75250,2010,0,0,0
박정진,99737,2010,0,0,0
박현준,79817,2010,0,0,0
박희수,76858,2010,0,0,0
배장호,76540,2010,0,0,0
배힘찬,72321,2010,0,0,0
성영훈,79222,2010,0,0,0
손승락,75321,2010,0,0,0
손영민,76639,2010,0,0,0
송신영,99314,2010,0,0,0
송은범,73801,2010,0,0,0
송창식,74731,2010,0,0,0
심동섭,60636,2010,0,0,0
안영명,73738,2010,0,0,0
양훈,75750,2010,0,0,0
오주원,74359,2010,0,0,0
오카모토,60156,2010,0,0,0
오현택,79293,2010,0,0,0
유동훈,99639,2010,0,0,0
유희관,79229,2010,0,0,0
윤근영,75730,2010,0,0,0
윤석민,75620,2010,0,0,0
윤성환,74454,2010,0,0,0
이동현,74620,2010,0,0,0
이보근,75342,2010,0,0,0
이상열,96720,2010,0,0,0
이승호,70820,2010,0,0,0
이재학,60263,2010,0,0,0
이정민,72551,2010,0,0,0
이정훈,97541,2010,0,0,0
임태훈,77251,2010,0,0,0
장원삼,76355,2010,0,0,0
전병두,73228,2010,0,0,0
정우람,74857,2010,0,0,0
정재훈,73241,2010,0,0,0
정현욱,96462,2010,0,0,0
조태수,73657,2010,0,0,0
허준혁,74556,2010,0,0,0
홍상삼,78247,2010,0,0,0
김경태,60757,2011,0,0,0
김대우,61365,2011,0,0,0
김수완,78550,2011,0,0,0
명재철,61495,2011,0,0,0
오승환,75421,2011,0,0,0
윤근영,75730,2011,0,0,0
임준혁,73632,2011,0,0,0
한기주,76610,2011,0,0,0
강영식,70615,2012,0,0,0
김건태,60339,2012,0,0,0
김광삼,99152,2012,0,0,0
김광수,70142,2012,0,0,0
김병현,62349,2012,0,0,0
김사율,99563,2012,0,0,0
김상수,76430,2012,0,0,0
김선규,75852,2012,0,0,0
김성배,73226,2012,0,0,0
김세현,76350,2012,0,0,0
김수경,98330,2012,0,0,0
김수완,78550,2012,0,0,0
김창훈,74728,2012,0,0,0
김태훈,79847,2012,0,0,0
류택현,94228,2012,0,0,0
마일영,70329,2012,0,0,0
박성훈,75464,2012,0,0,0
박정진,99737,2012,0,0,0
박종윤,62338,2012,0,0,0
박희수,76858,2012,0,0,0
봉중근,77147,2012,0,0,0
손승락,75321,2012,0,0,0
